doi	Total trials pub2	Total numb participants pub2	Search date pub 2	Total trials pub3	Total numb participants pub3	Search date pub 3	Conclusion
10.1002/14651858.CD008890	1	7	1 October 2010	1	7	1 May 2014	0
10.1002/14651858.CD006613	3	126	1 February 2008	3	126	1 March 2010	0
10.1002/14651858.CD001088	25	2503	1 May 2006	32	4032	15 January 2013	0
10.1002/14651858.CD008145	5	5886	30 March 2011	11	7828	5 July 2016	1
10.1002/14651858.CD008783	5	1368	27 September 2011	5	1368	15 February 2013	0
10.1002/14651858.CD008788	4	438	1 October 2010	4	438	1 November 2014	0
10.1002/14651858.CD007701	28	2616	1 December 2009	31	3117	30 November 2016	0
10.1002/14651858.CD003325	1	102	27 January 2012	1	102	23 July 2014	0
10.1002/14651858.CD003427	3	857	28 March 2012	3	857	26 June 2014	0
10.1002/14651858.CD007963	4	922	30 October 2012	5	1019	1 January 2017	1
10.1002/14651858.CD007079	22	17769	17 March 2011	25	19009	1 September 2014	0
10.1002/14651858.CD010288	1	9	22 February 2013	1	9	23 October 2015	0
10.1002/14651858.CD007806	6	425	1 March 2009	6	425	22 April 2011	0
10.1002/14651858.CD004643	10	2630	1 April 2009	10	2630	1 May 2012	0
10.1002/14651858.CD005612	6	2463	1 May 2012	6	2463	1 January 2014	0
10.1002/14651858.CD008420	1	25	6 February 2011	2	102	27 January 2014	0
10.1002/14651858.CD006386	79	14737	1 July 2010	79	14737	1 December 2010	1
10.1002/14651858.CD006612	8	24247	2 September 2008	12	35430	1 February 2012	0
10.1002/14651858.CD009645	15	463	1 May 2013	32	748	1 February 2015	1
10.1002/14651858.CD007235	5	507	27 January 2012	5	507	31 August 2012	0
10.1002/14651858.CD009131	14	866	1 October 2010	18	1138	28 May 2013	1
10.1002/14651858.CD009528	1	39	2 August 2012	2	78	19 November 2014	0
10.1002/14651858.CD006614	1	942	30 June 2009	4	464	14 June 2017	0
10.1002/14651858.CD006318	3	96	1 June 2007	4	271	1 September 2013	1
10.1002/14651858.CD006170	11	487	1 December 2007	21	1238	20 January 2011	0
10.1002/14651858.CD001841	22	3119	1 June 2008	23	48162	1 November 2017	0
10.1002/14651858.CD008991	12	3241	31 October 2011	15	4552	30 June 2016	0
10.1002/14651858.CD007529	17	9803	1 September 2009	17	9803	30 September 2013	0
10.1002/14651858.CD011312	3	123	1 June 2016	3	123	1 June 2016	0
10.1002/14651858.CD000434	16	2753	1 March 2010	23	5137	1 January 2012	1
10.1002/14651858.CD010185	1	30	1 July 2013	1	30	1 October 2016	0
10.1002/14651858.CD008351	5	55	1 October 2012	7	106	1 November 2015	0
10.1002/14651858.CD006866	6	1319	13 January 2009	6	1319	26 April 2013	0
10.1002/14651858.CD007743	1	186	28 October 2010	1	186	25 October 2011	0
10.1002/14651858.CD006704	45	9673	1 March 2007	50	10228	1 October 2009	1
10.1002/14651858.CD007208	2	251	1 March 2010	2	251	12 May 2015	0
10.1002/14651858.CD006832	9	1630	1 April 2008	5	1249	6 December 2013	1
10.1002/14651858.CD003603	1	26	13 June 2007	1	26	17 June 2013	0
10.1002/14651858.CD006544	20	2724	1 October 2009	33	4476	1 January 2017	0
10.1002/14651858.CD006545	2	2	1 March 2011	28	606	1 February 2017	1
10.1002/14651858.CD005381	9	433	15 December 2005	9	433	15 December 2005	1
10.1002/14651858.CD008106	5	352	1 August 2010	6	344	1 October 2014	0
10.1002/14651858.CD007406	6	1078	1 March 2009	6	1078	1 August 2012	0
10.1002/14651858.CD009820	14	216846	1 April 2016	14	216846	1 April 2016	0
10.1002/14651858.CD008070	4	775	30 June 2012	4	775	19 September 2016	0
10.1002/14651858.CD006947	3	1945	11 April 2012	3	1945	6 April 2013	0
10.1002/14651858.CD006452	4	1595	27 April 2009	4	1595	8 December 2011	0
10.1002/14651858.CD005364	24	3166	1 December 2016	24	3166	1 December 2016	0
10.1002/14651858.CD000940	4	422	1 May 2010	4	422	31 January 2013	0
10.1002/14651858.CD010470	9	602	5 March 2014	10	604	25 September 2017	1
10.1002/14651858.CD007577	8	1694	1 March 2011	6	819	5 June 2015	0
10.1002/14651858.CD004975	5	1640	1 July 2010	5	1640	1 March 2013	0
10.1002/14651858.CD009414	9	5165	19 June 2012	9	5165	31 July 2014	0
10.1002/14651858.CD006047	12	2248	1 March 2006	14	2652	20 January 2012	0
10.1002/14651858.CD006340	4	1138	1 December 2006	6	1835	1 February 2009	1
10.1002/14651858.CD001401	8	97	4 February 2013	8	97	2 June 2015	0
10.1002/14651858.CD008347	2	57	1 November 2010	2	57	1 February 2014	0
10.1002/14651858.CD009261	4	89	11 November 2011	9	689	28 January 2014	0
10.1002/14651858.CD009389	4	592	1 July 2012	4	592	1 October 2014	0
10.1002/14651858.CD002042	17	3729	1 August 2009	19	6247	1 February 2011	1
10.1002/14651858.CD008253	1	46	2 February 2011	1	46	25 January 2013	0
10.1002/14651858.CD002954	2	136	1 June 2009	5	213	22 September 2016	0
10.1002/14651858.CD006123	5	106	1 August 2007	6	228	1 August 2017	1
10.1002/14651858.CD007615	4	467	1 November 2008	4	467	1 April 2011	0
10.1002/14651858.CD009577	4	2334	10 October 2011	5	2346	1 June 2015	0
10.1002/14651858.CD006214	5	159	10 September 2010	5	159	13 April 2011	0
10.1002/14651858.CD000475	17	913	1 September 2007	18	1456	1 February 2015	0
10.1002/14651858.CD009670	36	20197	1 July 2012	43	23009	1 May 2015	0
10.1002/14651858.CD007623	8	627	14 September 2009	10	767	20 August 2012	0
10.1002/14651858.CD003160	2	26340	10 October 2007	2	26340	11 November 2015	0
10.1002/14651858.CD000996	6	337	1 October 2010	7	414	1 June 2017	0
10.1002/14651858.CD007355	18	3433	1 August 2009	24	5551	28 March 2017	0
10.1002/14651858.CD006870	19	8910	1 February 2010	19	8910	12 April 2013	0
10.1002/14651858.CD003243	3	1156	1 May 2009	4	1232	1 June 2015	1
10.1002/14651858.CD001273	6	183	17 May 2012	6	183	2 September 2014	0
10.1002/14651858.CD007058	12	39933	1 September 2009	12	39933	30 March 2015	0
10.1002/14651858.CD008554	3	25	1 September 2010	3	25	1 August 2012	0
10.1002/14651858.CD009498	1	61	1 November 2011	1	61	1 December 2012	0
10.1002/14651858.CD008244	5	4073	1 January 2012	7	6163	18 May 2015	0
10.1002/14651858.CD010089	9	6881	1 July 2014	10	7719	15 February 2017	0
10.1002/14651858.CD005461	5	6963	1 March 2008	6	7706	31 May 2012	0
10.1002/14651858.CD008819	7	345	31 May 2011	7	345	1 August 2013	0
10.1002/14651858.CD007123	8	1358	30 April 2011	8	1358	23 February 2013	0
10.1002/14651858.CD007699	4	277	10 April 2013	4	277	1 September 2015	0
10.1002/14651858.CD011033	5	628	1 April 2015	5	628	1 April 2015	0
10.1002/14651858.CD008312	6	537	24 June 2010	12	1889	4 February 2016	0
10.1002/14651858.CD006325	1	30	1 July 2008	1	30	1 January 2011	0
10.1002/14651858.CD007716	1	19	1 April 2010	1	19	1 July 2012	0
10.1002/14651858.CD006537	9	1828	14 November 2008	11	3241	3 August 2015	1
10.1002/14651858.CD007719	1	4	1 January 2011	1	4	1 November 2013	0
10.1002/14651858.CD001797	7	284	23 November 2010	7	284	4 December 2012	1
10.1002/14651858.CD003335	3	262	1 June 2008	3	262	17 May 2012	0
10.1002/14651858.CD004427	2	48	8 December 2008	2	48	1 May 2012	0
10.1002/14651858.CD008033	10	4867	1 November 2009	10	4867	1 July 2012	0
10.1002/14651858.CD008041	13	4413	10 March 2010	13	4413	31 January 2013	0
10.1002/14651858.CD008040	10	2841	4 October 2010	11	3014	13 February 2013	0
10.1002/14651858.CD001396	39	14891	1 March 2008	24	6721	1 February 2013	0
10.1002/14651858.CD008630	2	53	5 July 2010	2	53	28 August 2012	0
10.1002/14651858.CD005437	1	510	16 June 2010	1	510	1 May 2013	0
10.1002/14651858.CD001798	8	1117	14 June 2011	8	1117	18 January 2016	0
10.1002/14651858.CD012551	38	3399	1 August 2017	38	3399	1 August 2017	0
